Año,Trimestre,Mbps (Media de bajada),Año-Trimestre
2024,2,"139,25",20242
2024,1,"139,15",20241
2023,4,"139,04",20234
2023,3,"129,67",20233
2023,2,"123,95",20232
2023,1,"110,5",20231
2022,4,"106,56",20224
2022,3,"62,46",20223
2022,2,"58,44",20222
2022,1,"55,11",20221
2021,4,"52,34",20214
2021,3,"48,46",20213
2021,2,"45,63",20212
2021,1,"43,11",20211
2020,4,"42,36",20204
2020,3,"40,67",20203
2020,2,"38,32",20202
2020,1,"37,52",20201
2019,4,"28,26",20194
2019,3,"24,18",20193
2019,2,"20,33",20192
2019,1,"17,38",20191
2018,4,"15,95",20184
2018,3,"15,36",20183
2018,2,"13,85",20182
2018,1,"13,22",20181
2017,4,"12,01",20174
2017,3,"8,34",20173
2017,2,"7,16",20172
2017,1,"6,62",20171
2016,4,"6,34",20164
2016,3,"5,94",20163
2016,2,"5,42",20162
2016,1,"5,08",20161
2015,4,"4,99",20154
2015,3,"4,79",20153
2015,2,"4,55",20152
2015,1,"4,35",20151
2014,4,"4,16",20144
2014,3,"3,87",20143
2014,2,"3,76",20142
2014,1,"3,62",20141
